,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward,goals_reached
0,-0.9234873391595735,-0.24088735967805727,-0.019216337398458204,-3.18952595737734,0.0,0.0001220703125,1.158905029296875,-3.4496296544538554,-4.373116993613428,0
0,-0.6335383387704301,-0.23904008305614444,-0.018968158933318092,-2.1599455107769048,0.0,9.1552734375e-05,0.660919189453125,-2.417953752766367,-3.0514920915367973,0
0,-0.6121080312746136,-0.24309172529511724,-0.035799261729645954,-1.6827063214047744,0.0,0.000579833984375,0.453125,-1.9615973084295377,-2.5737053397041514,0
0,-0.7654401835228439,-0.24215448265785117,-0.038160821396240566,-1.4016075135733628,0.0,0.000457763671875,0.332977294921875,-1.6819228176274543,-2.4473630011502987,0
0,-0.7808597029785733,-0.23978716477295825,-0.04092079698475485,-1.172092507142118,0.0,9.1552734375e-05,0.251861572265625,-1.4528004688998308,-2.2336601718784044,0
0,-0.6936237321218082,-0.24298912898592323,-0.05150873649119549,-0.9770397558536537,0.0,0.0,0.17926025390625,-1.2715376213307723,-1.9651613534525805,0
0,-0.7504393937677097,-0.2426641009194894,-0.045489034000712,-0.886542323872773,0.0,0.0,0.151611328125,-1.1746954587929743,-1.9251348525606842,0
0,-0.6894879740653594,-0.2470799270563254,-0.021519504101828117,-0.7888208493994115,0.0,6.103515625e-05,0.120361328125,-1.0574202805575652,-1.7469082546229244,0
0,-0.634922103394458,-0.25013368542532727,-0.016450892288398015,-0.7178456018816065,0.0,0.0,0.092987060546875,-0.9844301795953319,-1.6193522829897897,0
0,-0.6283210831851511,-0.2534683013318505,-0.014111084436448089,-0.6378917237109127,0.0,0.0,0.086090087890625,-0.9054711094792113,-1.5337921926643623,0
0,-0.7689750878047508,-0.2644136776858267,-0.016357692988368578,-0.5861929694187551,0.0,0.0,0.077056884765625,-0.8669643400929503,-1.635939427897701,0
0,-0.7344953593632089,-0.27238002352481283,-0.01634746397447235,-0.5299840051313173,0.0,0.0,0.066558837890625,-0.8187114926306026,-1.5532068519938114,0
0,-0.5400913793735008,-0.2852140772316326,-0.023074405381791913,-0.43771955658075834,0.0,6.103515625e-05,0.0469970703125,-0.746008039194183,-1.2860994185676837,0
0,-0.6634245124099596,-0.29027264826744437,-0.01847144029848974,-0.3989693593545389,0.0,0.0,0.043792724609375,-0.7077134479204731,-1.3711379603304326,0
0,-0.6689262960529657,-0.29603946207647847,-0.018973100897487973,-0.3666154476660968,0.0,0.0,0.034423828125,-0.6816280106400632,-1.350554306693029,0
0,-0.4960700043990884,-0.2997111556854607,-0.018108741555163576,-0.331688724560796,0.0,0.0,0.027557373046875,-0.6495086218014203,-1.1455786262005088,0
0,-0.6027455962373202,-0.2979053253619523,-0.017055911686048274,-0.3241806637683906,0.0,0.0,0.030731201171875,-0.6391419008163912,-1.2418874970537113,0
0,-0.5844732845606327,-0.29840411509720616,-0.021764878121816482,-0.3016657490903295,0.0,0.0,0.02923583984375,-0.6218347423093522,-1.2063080268699848,0
0,-0.502760151389523,-0.30172654924385645,-0.024597401959687862,-0.2670819842158727,0.0,0.0,0.023712158203125,-0.593405935419417,-1.09616608680894,0
0,-0.43966939807820204,-0.29836332908804397,-0.02134483510621616,-0.2602783605410913,0.0,0.0,0.018310546875,-0.5799865247353514,-1.0196559228135536,0
0,-0.4190768285214368,-0.29915647934249706,-0.017269424178283067,-0.23477788160800334,0.0,0.0,0.0159912109375,-0.5512037851287835,-0.9702806136502203,0
0,-0.5491408151269042,-0.2958914324149399,-0.020883759544596064,-0.2702174789533838,0.0,0.0,0.030120849609375,-0.5869926709129198,-1.1361334860398238,0
0,-0.49647658097313013,-0.2972316064892029,-0.020213214075430825,-0.23080462408481997,0.0,0.0,0.014007568359375,-0.5482494446494536,-1.0447260256225839,0
0,-0.47044849216802387,-0.2937864134645197,-0.01906954002804495,-0.24382900304378186,0.0,0.0,0.021636962890625,-0.5566849565363465,-1.0271334487043704,0
0,-0.43474949130804813,-0.2939609442844595,-0.01816922631713286,-0.23012502679454502,0.0,0.0,0.014312744140625,-0.5422551973961374,-0.9770046887041856,0
