,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward,goals_reached
0,-0.653755948339648,-0.004212631958441156,-0.0006999999999999999,-0.012678853400247634,0.0,0.0,0.01513671875,-0.017591485358688784,-0.6713474336983366,0
0,-0.7173669315565272,-0.004658404877230446,-0.0006999999999999999,-0.014297106694836163,0.0,0.0,0.033111572265625,-0.01965551157206661,-0.7370224431285937,0
0,-0.4268048827153123,-0.00390765298115721,-0.0006999999999999999,-0.012458027441848355,0.0,0.0,0.01513671875,-0.017065680423005564,-0.4438705631383178,0
0,-0.4099319819001238,-0.004072257912341483,-0.0006999999999999999,-0.012276396376906598,0.0,0.0,0.01513671875,-0.01704865428924808,-0.4269806361893719,0
0,-0.6232428083559421,-0.004250059956890264,-0.004340361195725896,-0.013117013982346642,0.0,0.013336181640625,0.015869140625,-0.0217074351349628,-0.6449502434909049,0
0,-0.5569302716985007,-0.0050437789297180175,-0.008760903553485468,-0.013012353732540057,0.0,0.04241943359375,0.0179443359375,-0.026817036215743544,-0.5837473079142443,0
0,-0.534572428829632,-0.0059644530066670035,-0.024197756794465716,-0.01937930990282918,0.0,0.0738525390625,0.05841064453125,-0.0495415197039619,-0.5841139485335939,0
0,-0.40377707918546946,-0.005694737578762415,-0.031208183950075036,-0.022658043917598403,0.0,0.124114990234375,0.07586669921875,-0.059560965446435854,-0.4633380446319053,0
0,-0.5106702260943264,-0.005768859681277711,-0.01649715937029952,-0.017060021790097663,0.0,0.063140869140625,0.038970947265625,-0.03932604084167489,-0.5499962669360012,0
0,-0.47642722262563797,-0.0053925464321034604,-0.03433654265625452,-0.025090607122651175,0.0,0.14215087890625,0.0926513671875,-0.06481969621100916,-0.5412469188366471,0
0,-0.5761523705620732,-0.005002943846104091,-0.0398277923388805,-0.02989365189008746,0.0,0.20257568359375,0.09686279296875,-0.07472438807507206,-0.6508767586371453,0
0,-0.5258406591576432,-0.005569384229881594,-0.034950961964042696,-0.019740728729798554,0.0,0.118804931640625,0.065216064453125,-0.06026107492372285,-0.5861017340813661,0
0,-0.6637764973988151,-0.0049673371497504955,-0.012704112326577241,-0.014356830650587349,0.0,0.09051513671875,0.020904541015625,-0.03202828012691509,-0.6958047775257301,0
0,-0.6310885523719869,-0.005122188209517472,-0.02224097407124829,-0.018141914673785578,0.0,0.1058349609375,0.0450439453125,-0.04550507695455133,-0.6765936293265382,0
0,-0.5039349801074315,-0.005103078693419437,-0.013524269863043129,-0.017110043488017406,0.0,0.034454345703125,0.051422119140625,-0.035737392044479975,-0.5396723721519114,0
0,-0.46951049565309455,-0.004400097280485658,-0.01587549562941687,-0.016106231890743304,0.0,0.092620849609375,0.035552978515625,-0.036381824800645834,-0.5058923204537403,0
0,-0.4788489324255703,-0.004796247368437869,-0.01896625285353911,-0.02043833038099569,0.0,0.112579345703125,0.06085205078125,-0.04420083060297267,-0.5230497630285431,0
0,-0.4180514008481048,-0.003723156781217027,-0.0036931839047417685,-0.013922388710251216,0.0,0.008087158203125,0.026092529296875,-0.021338729396210013,-0.4393901302443149,0
0,-0.4214923977424242,-0.005146001800496095,-0.02335233560328958,-0.01601802850015606,0.0,0.125030517578125,0.03204345703125,-0.04451636590394173,-0.4660087636463659,0
0,-0.3933914910318441,-0.0042564838068860885,-0.04140339503515825,-0.014371078264958165,0.0,0.381591796875,0.019683837890625,-0.0600309571070025,-0.45342244813884663,0
0,-0.2717984994584576,-0.004645619877148482,-0.015172115577740328,-0.023914132861726063,0.0,0.091522216796875,0.066131591796875,-0.04373186831661487,-0.3155303677750725,0
0,-0.3827517860202918,-0.004774729431745364,-0.028489159385593238,-0.016759563548705687,0.0,0.236419677734375,0.04034423828125,-0.05002345236604429,-0.43277523838633614,0
0,-0.3310915658587388,-0.004232576576437249,-0.011842451102348944,-0.014454899696001423,0.0,0.09149169921875,0.026336669921875,-0.030529927374787616,-0.36162149323352644,0
0,-0.31031472979317964,-0.004555555163782565,-0.028441701166133506,-0.013785317142201221,0.0,0.2060546875,0.02325439453125,-0.04678257347211729,-0.3570973032652969,1
0,-0.28415513682691435,-0.004928731996247049,-0.010416804630066608,-0.017902240552360494,0.0,0.019622802734375,0.050628662109375,-0.03324777717867415,-0.3174029140055885,0
0,-0.32341297970381605,-0.004416385941178595,-0.032890665631556994,-0.028233731794775258,0.0,0.1953125,0.124847412109375,-0.06554078336751085,-0.3889537630713269,0
